mint gas,trade gas,cross chain fee
118273263281250,124034625390625,21569767503313074
112192934218750,126919619218750,14730296445792576
110025870291717,115834673178961,14730296445792576
109732044365600,108715668272957,14730296445792576
109270814459208,117225485610654,14730296445792576
109165259172895,124581625582277,14730296445792576
109016872612213,111866143262279,14730296445792576
108747566560375,110611144574893,14730296445792576
108481067767584,116401074786362,14730296445792576
108219464902507,118920268510809,14730296445792576
107895644481694,109038409874407,14730296445792576
107738159040459,119487719221165,14730296445792576
107528656278676,112225978047835,14730296445792576
107247861704683,121506752617788,14730296445792576
106830222202673,112959455817602,14730296445792576
106774452601097,120805306575925,14730296445792576
106278246071727,121912245360098,14730296445792576
106201698683511,123804520228819,14730296445792576
106182643455931,106490180824278,14730296445792576
105823788686077,112740936675229,14730296445792576
105814882426406,112093201338600,14730296445792576
105673247968750,118628387812500,21569767503313074
105323044009030,123754118159172,14730296445792576
105249566616223,119316351074874,14730296445792576
105236454831247,107254890889245,14730296445792576
105129940781250,116077239687500,21569767503313074
104670338341356,108899919995067,14730296445792576
104634085627392,117904369910340,14730296445792576
104580301866092,121463937115742,14730296445792576
104132194485555,120910836944541,14730296445792576
103694844474181,115784385927372,14730296445792576
103491822135054,115547157735573,14730296445792576
103418850519277,124033999961901,14730296445792576
103228365625000,133309156317409,14730296445792576
103207771573662,118989779745054,14730296445792576
103086190562565,111565407589115,14730296445792576
103018932293711,108585077878488,14730296445792576
102685058437500,126853507098659,21569767503313074
102413404843750,120222855390625,21569767503313074
102271518570126,119363984991585,14730296445792576
102141751250000,119903961875000,21569767503313074
101933012621460,119485893447181,14730296445792576
101656662905612,118190043720017,14730296445792576
101364351534860,122430372014431,14730296445792576
101297793656997,112819906556281,14730296445792576
101055136875000,117181700156250,14730296445792576
100778277725866,122081165369604,14730296445792576
100658353806990,108930508110115,14730296445792576
100222279639354,108080432697454,14730296445792576
100027312945463,107794272910227,14730296445792576
99968522500000,116077239687500,14730296445792576
99837384860370,119610041879171,14730296445792576
99696868906250,116295020625000,14730296445792576
98895379988512,105885639478692,14730296445792576
98881908125000,115758346171875,14730296445792576
98776949064505,121362027281122,14730296445792576
98344217402016,107571531707728,14730296445792576
98177247267812,115338507511224,14730296445792576
98065825000587,107673215072342,14730296445792576
98059522227207,116750156072220,14730296445792576
97998805549773,113568949846565,14730296445792576
97583382661541,123302038635404,14730296445792576
97344925416875,110032461106656,14730296445792576
97330554968412,123517762430770,14730296445792576
97169233952320,123777197088924,14730296445792576
96993377294268,120496156718805,14730296445792576
96878558337528,110637568233484,14730296445792576
96846695303956,118133611647478,14730296445792576
96795779015882,111883755547069,14730296445792576
96634146382300,121820232238105,14730296445792576
95986972812500,116715026718750,14730296445792576
95677872649783,122855755427421,14730296445792576
95671514214294,124571433086409,14730296445792576
95447720156250,114801665625000,14730296445792576
95346352581484,120023802026115,14730296445792576
95005259449730,112808753983321,14730296445792576
94981906227809,112740083469288,14730296445792576
94903759011827,110974623051017,14730296445792576
94574700441768,123444446054816,14730296445792576
94454907948304,119533285424048,14730296445792576
94263797031250,106510434218750,14730296445792576
94253340381482,116541292153518,14730296445792576
93846373532686,114040456782200,14730296445792576
93654756365826,115359806494625,14730296445792576
93482047060526,117964543691339,14730296445792576
93403843435635,121032488703791,14730296445792576
93334959852943,110181664528900,14730296445792576
93064140490064,111176693857832,14730296445792576
92499723589314,123653651348101,14730296445792576
92212204218750,109061582343750,14730296445792576
92002970839135,106040843592662,14730296445792576
91818914687500,107148221250000,14730296445792576
91416092561585,120436956454292,14730296445792576
91331892719513,120556299808883,14730296445792576
91003953906250,105872647187500,14730296445792576
90507265627244,116142071243779,14730296445792576
90460646718750,107358224296875,14730296445792576
89726372106466,109733815615793,14730296445792576
89669290749843,115393375140239,14730296445792576
89645685937500,107486559442409,14730296445792576